id,City,Latitude,Longitude,Temperature,Humidity,Wind,Rain
1,Mont Saint Michel,48.6359541,-1.511459954959514,13.8,82.0,6.4,0.7
2,St Malo,48.649518,-2.0260409,13.6,79.0,7.1,0.2
3,Bayeux,49.2764624,-0.7024738,14.1,78.0,6.6,0.8
4,Le Havre,49.4938975,0.1079732,11.4,87.0,6.4,1.9
5,Rouen,49.4404591,1.0939658,13.6,81.0,5.5,1.9
6,Paris,48.8588897,2.3200410217200766,14.9,60.0,3.8,0.6
7,Amiens,49.8941708,2.2956951,13.4,75.0,5.6,0.8
8,Lille,50.6365654,3.0635282,14.0,73.0,5.6,1.1
9,Strasbourg,48.584614,7.7507127,13.9,65.0,4.0,1.3
10,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,12.5,63.0,2.3,0.7
11,Colmar,48.0777517,7.3579641,14.6,61.0,2.6,0.5
12,Eguisheim,48.0447968,7.3079618,14.3,61.0,2.5,0.3
13,Besancon,47.2380222,6.0243622,11.9,82.0,3.4,1.2
14,Dijon,47.3215806,5.0414701,11.3,88.0,3.5,1.5
15,Annecy,45.8992348,6.1288847,15.0,60.0,1.9,0.2
16,Grenoble,45.1875602,5.7357819,17.3,57.0,2.1,0.4
17,Lyon,45.7578137,4.8320114,12.7,65.0,2.3,0.1
18,Gorges du Verdon,43.7496562,6.3285616,11.9,53.0,3.0,0.0
19,Bormes les Mimosas,43.1506968,6.3419285,14.4,63.0,4.1,0.0
20,Cassis,43.2140359,5.5396318,13.5,69.0,5.3,0.0
21,Marseille,43.2961743,5.3699525,14.2,63.0,5.0,0.0
22,Aix en Provence,43.5298424,5.4474738,15.8,48.0,3.7,0.0
23,Avignon,43.9492493,4.8059012,15.3,60.0,5.9,0.0
24,Uzes,44.0121279,4.4196718,15.1,57.0,4.3,0.0
25,Nimes,43.8374249,4.3600687,16.5,53.0,4.3,0.0
26,Aigues Mortes,43.5661521,4.19154,14.1,61.0,3.6,0.0
27,Saintes Maries de la mer,43.4515922,4.4277202,13.8,64.0,4.6,0.0
28,Collioure,42.52505,3.0831554,17.4,57.0,3.5,0.0
29,Carcassonne,43.2130358,2.3491069,16.7,59.0,4.7,0.0
30,Ariege,42.9927428,1.6124975,16.5,61.0,2.4,0.0
31,Toulouse,43.6044622,1.4442469,16.2,65.0,4.2,0.1
32,Montauban,44.0175835,1.3549991,16.0,65.0,4.1,0.4
33,Biarritz,43.4832523,-1.5592776,16.1,70.0,4.3,2.3
34,Bayonne,43.4945144,-1.4736657,16.8,67.0,3.5,1.8
35,La Rochelle,46.1591126,-1.1520434,12.1,79.0,5.7,0.7
